NIM,Nama,Semester,IPK,SKS_Lulus,SKS_Diambil,Sisa_Matkul_Wajib,Tugas_Tertunda_Avg,Skor_Psikologis_Avg,Tidur_Avg_Jam,Motivasi,Label
71241159,Arif Saputra,14,2.61,90,16,6,6.1,9.1,4.2,Sedang,Terlambat_Lebih
71241160,Shinta Permata,7,3.82,86,21,2,1.6,4.1,7.9,Tinggi,Tepat_Waktu
71241161,Lestari Rizki,10,2.62,94,22,6,3.6,7.3,6.2,Rendah,Terlambat_1Sem
71241162,Putri Kusuma,7,3.24,109,22,4,1.7,1.7,7.5,Tinggi,Tepat_Waktu
71241163,Lestari Setiawan,7,3.34,118,23,2,1.4,2.6,6.9,Tinggi,Tepat_Waktu
71241164,Xander Dewi,8,2.95,101,21,6,3.6,4.1,5.6,Rendah,Terlambat_1Sem
71241165,Vito Nugroho,8,3.37,115,22,2,1.1,3.7,7.2,Sedang,Tepat_Waktu
71241166,Fitri Rahayu,6,3.12,92,20,0,1.9,4.8,7.9,Tinggi,Tepat_Waktu
71241167,Nina Rizki,10,2.87,108,20,7,3.0,4.4,5.4,Sedang,Terlambat_1Sem
71241168,Yudi Hidayat,8,3.53,97,18,0,1.4,3.5,6.8,Tinggi,Tepat_Waktu
71241169,Gita Santoso,9,2.78,81,17,3,2.9,7.4,5.2,Sedang,Terlambat_1Sem
71241170,Bagas Setiawan,8,3.69,89,19,4,2.4,0.4,7.0,Sedang,Tepat_Waktu
71241171,Zaki Dewi,10,2.58,93,19,6,5.2,5.2,6.2,Rendah,Terlambat_1Sem
71241172,Umar Budiman,10,3.17,66,22,4,4.2,5.1,5.2,Sedang,Terlambat_1Sem
71241173,Lestari Cahyono,6,3.41,124,22,3,0.7,1.2,7.9,Sedang,Tepat_Waktu
71241174,Fitri Kusuma,9,3.03,100,20,8,4.8,4.8,5.2,Sedang,Terlambat_1Sem
71241175,Shinta Sari,11,1.87,50,18,10,7.2,11.1,5.3,Rendah,Terlambat_Lebih
71241176,Hendra Hartono,10,2.72,77,20,7,3.7,4.3,5.1,Rendah,Terlambat_1Sem
71241177,Yuni Permata,8,2.47,103,22,7,4.1,4.1,6.5,Rendah,Terlambat_1Sem
71241178,Miko Wijaya,11,2.27,81,15,10,5.3,9.9,4.8,Rendah,Terlambat_Lebih
71241179,Fajar Setiawan,7,3.32,86,24,1,0.8,3.5,7.1,Tinggi,Tepat_Waktu
71241180,Zaki Cahyono,6,3.31,100,18,3,2.2,4.1,6.5,Sedang,Tepat_Waktu
71241181,Fitri Dewi,8,3.36,128,21,5,1.1,0.3,7.0,Tinggi,Tepat_Waktu
71241182,Toni Hartono,13,1.92,80,16,9,7.7,8.6,3.5,Rendah,Terlambat_Lebih
71241183,Fajar Nugroho,10,2.26,47,17,8,6.7,10.6,4.5,Rendah,Terlambat_Lebih
71241184,Cahya Setiawan,11,2.26,49,15,9,8.6,9.5,5.3,Rendah,Terlambat_Lebih
71241185,Sari Susanto,13,2.14,90,16,10,8.2,8.4,4.1,Sedang,Terlambat_Lebih
71241186,Nadia Prabowo,8,2.76,90,18,5,3.9,6.2,5.9,Rendah,Terlambat_1Sem
71241187,Muhamad Utama,7,3.23,129,21,0,0.8,2.4,8.3,Tinggi,Tepat_Waktu
71241188,Zahra Prabowo,11,2.3,42,13,14,8.8,8.7,3.7,Rendah,Terlambat_Lebih
71241189,Gita Gunawan,10,2.52,66,18,8,4.8,10.9,4.0,Sedang,Terlambat_Lebih
71241190,Vito Purnama,9,3.08,94,19,5,4.2,7.5,6.0,Sedang,Terlambat_1Sem
71241191,Citra Wahyudi,8,3.68,98,19,5,0.2,4.9,8.0,Sedang,Tepat_Waktu
71241192,Gita Hartono,7,3.9,82,20,0,0.7,1.9,6.8,Sedang,Tepat_Waktu
71241193,Cahya Budiman,8,2.54,65,20,6,4.2,5.0,6.8,Sedang,Terlambat_1Sem
71241194,Oscar Hartono,9,2.6,60,22,6,5.2,6.7,5.3,Rendah,Terlambat_1Sem
71241195,Xena Budiman,7,3.69,109,24,2,0.5,1.9,7.5,Tinggi,Tepat_Waktu
71241196,Zahra Budiman,7,3.99,98,18,5,1.0,0.0,8.2,Sedang,Tepat_Waktu
71241197,Dian Wahyudi,9,3.02,74,20,5,2.8,4.8,5.5,Sedang,Terlambat_1Sem
71241198,Arif Prabowo,8,2.9,100,21,3,3.1,5.8,6.2,Sedang,Terlambat_1Sem
71241199,Indah Kusuma,12,2.55,51,13,8,8.0,11.4,4.2,Sedang,Terlambat_Lebih
